Feature,Type,Selection_Frequency,Coef_Median,Coef_2.5%,Coef_97.5%,HR_Median,HR_2.5%,HR_97.5%,Nonzero_in_Final,HR_uni,HR_lo_uni,HR_hi_uni,p_uni,p_display
Extent of Tumor Resection,Clinical,0.998,-1.4392800583340868,-2.1576789765879014,-0.5991445741267353,0.23709839426387067,0.11559310422131071,0.5492813046217551,True,0.125,0.067,0.232,4.726027935703944e-11,p<0.001
Age at Diagnosis,Clinical,0.902,-0.1674606887143121,-0.4137156615816554,0.0,0.845809866508605,0.6611889259538659,1.0,True,0.751,0.596,0.946,0.015052851770808296,p=0.015
feature_472,Radiomic,0.818,0.134515367105594,0.0,0.3954836625413387,1.1439822385631793,1.0,1.485102305599604,True,1.335,1.09,1.636,0.005261723292623687,p=0.005
Tumor Location,Clinical,0.814,-0.11354618569406331,-0.4259512046646788,0.0,0.8926629672003877,0.6531482119291359,1.0,True,0.665,0.532,0.831,0.00033522058296952807,p<0.001
Chemotherapy,Clinical,0.712,0.17130103220857207,0.0,0.698103711976907,1.1868479747178626,1.0,2.0099376706773286,True,2.761,1.788,4.263,4.617710887686298e-06,p<0.001
feature_348,Radiomic,0.61,-0.040474983520118565,-0.31157821519020557,0.0,0.9603331883668018,0.7322903320377694,1.0,True,0.685,0.536,0.875,0.00243296577492518,p=0.002
feature_353,Radiomic,0.596,-0.029454464171250073,-0.26979763779487026,0.0,0.9709750907900001,0.7635339891261039,1.0,True,0.683,0.531,0.878,0.002916560376279684,p=0.003
feature_495,Radiomic,0.55,-0.011979020499973007,-0.23459469684265113,0.0,0.9880924423299033,0.790891335432765,1.0,True,0.787,0.616,1.005,0.05495451938503997,p=0.055
feature_390,Radiomic,0.392,0.0,0.0,0.19693036931923494,1.0,1.0,1.2176592513113624,True,1.241,0.998,1.543,0.05163419770305533,p=0.052
feature_280,Radiomic,0.38,0.0,0.0,0.2305176936879003,1.0,1.0,1.2592517478959695,True,1.148,0.93,1.417,0.19799736600515547,p=0.198
feature_403,Radiomic,0.354,0.0,-0.1944670099248001,0.0,1.0,0.8232733376578448,1.0,True,0.848,0.681,1.057,0.14210726810560464,p=0.142
feature_157,Radiomic,0.27,0.0,0.0,0.20961572100195347,1.0,1.0,1.2332040744651187,True,1.31,1.032,1.661,0.026298581342459226,p=0.026
