,coef,HR
Chemotherapy,0.19885707839517638,1.220007587996611
feature_472,0.161281686564289,1.1750159083952874
feature_157,0.008133071116242546,1.0081662343845725
feature_390,0.00399991488313958,1.004007925219336
feature_280,0.0029869284110148873,1.0029913937264334
feature_403,-0.00037350746451414197,0.9996265622807151
feature_495,-0.019021166641179917,0.981158594191108
feature_353,-0.05338227490182031,0.9480175398926391
feature_348,-0.08060956486244462,0.9225538185639458
Tumor Location,-0.13270623290194936,0.8757223127279522
Age at Diagnosis,-0.1742463063489718,0.8400899526844936
Extent of Tumor Resection,-1.3781010830509939,0.25205673370714743
