fold,best_estimator,inner_harrell,harrell,uno,best_l1_ratio,best_alpha
1,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.0049046983979105525)],
                       fit_baseline_model=True, l1_ratio=0.8, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5334446149480898,0.5782828282828283,0.542354112149051,0.8,0.0049046983979105525
2,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.020495664450002275)],
                       fit_baseline_model=True, l1_ratio=0.1, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5453921477068132,0.5300859598853869,0.5466237891799461,0.1,0.020495664450002275
3,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.010277148659811018)],
                       fit_baseline_model=True, l1_ratio=0.2, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.552968672513978,0.5960960960960962,0.5007478440390025,0.2,0.010277148659811018
4,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.012647910294675853)],
                       fit_baseline_model=True, l1_ratio=0.30000000000000004,
                       max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5496941266826771,0.5235690235690236,0.5118077874195524,0.30000000000000004,0.012647910294675853
5,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.049185669972758965)],
                       fit_baseline_model=True, l1_ratio=0.1, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5374191897555536,0.3909657320872274,0.37833150269426047,0.1,0.049185669972758965
6,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.009864140339476354)],
                       fit_baseline_model=True, l1_ratio=0.2, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5370372314699396,0.592375366568915,0.5799134025890214,0.2,0.009864140339476354
7,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.008598065438380348)],
                       fit_baseline_model=True, l1_ratio=0.2, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5383280916191269,0.6084558823529411,0.5235809572488018,0.2,0.008598065438380348
8,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.039397491773099945)],
                       fit_baseline_model=True, l1_ratio=0.1, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5202515406103934,0.5733137829912024,0.5480146811259217,0.1,0.039397491773099945
9,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.0245844036815816)],
                       fit_baseline_model=True, l1_ratio=0.1, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5632156536398367,0.40298507462686567,0.4925032524345058,0.1,0.0245844036815816
10,"CoxnetSurvivalAnalysis(alphas=[np.float64(0.10984629671854317)],
                       fit_baseline_model=True, l1_ratio=0.1, max_iter=50000,
                       penalty_factor=array([1., 1., 1., 1., 1., 1., 1., 1., 1.]))",0.5466747884437714,0.4136690647482014,0.47489451999236126,0.1,0.10984629671854317
